Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S285380811,Black-bellied Whistling-Duck,Dendrocygna autumnalis,243,9,US-TX,Cameron,L283726,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),26.1400912,-97.1748233,2025-11-20,12:53 PM,eBird - Traveling Count,120,1,1.609,,9,,,,645920320
S311556119,Canada Goose,Branta canadensis,342,100,US-WA,Adams,L455722,Para/McCain's Ponds,46.8574296,-119.1854596,2026-03-21,10:39 AM,eBird - Traveling Count,30,1,.301,,1
S356765363,Canada Goose,Branta canadensis,342,2,US-CA,Alameda,L8307665,Albany State Marine Reserve,37.8893242,-122.3151134,2026-06-13,07:48 AM,eBird - Traveling Count,99,1,2.71,,1
S324366340,Canada Goose,Branta canadensis,342,2,US-WA,Clallam,L828590,Dungeness Landing Park/Oyster House,48.1514639,-123.143456,2026-04-19,12:52 PM,eBird - Stationary Count,65,1,,,1
S323667024,Canada Goose,Branta canadensis,342,5,US-WA,Clallam,L190512,Ediz Hook,48.14035,-123.44711,2026-04-18,08:22 AM,eBird - Traveling Count,154,1,4.076,,1
S323750410,Canada Goose,Branta canadensis,342,1,US-WA,Clallam,L793855,Elwha River Mouth,48.1447892,-123.5671808,2026-04-18,11:32 AM,eBird - Traveling Count,130,1,.681,,1
S323075329,Canada Goose,Branta canadensis,342,3,US-WA,Clallam,L894831,Freshwater Bay,48.1461024,-123.6414242,2026-04-17,09:39 AM,eBird - Traveling Count,130,1,5.296,,1
S323789056,Canada Goose,Branta canadensis,342,2,US-WA,Clallam,L894831,Freshwater Bay,48.1461024,-123.6414242,2026-04-18,02:00 PM,eBird - Traveling Count,75,1,.617,,1
S323134294,Canada Goose,Branta canadensis,342,1,US-WA,Clallam,L6125771,Jamestown S'Klallam Tribe Center,48.0252673,-122.9962617,2026-04-17,01:14 PM,eBird - Traveling Count,73,1,1.266,,1
S323179015,Canada Goose,Branta canadensis,342,3,US-WA,Clallam,L284497,John Wayne Marina,48.0623184,-123.0416377,2026-04-17,02:38 PM,eBird - Traveling Count,99,1,.876,,1
S324402551,Canada Goose,Branta canadensis,342,3,US-WA,Clallam,L265438,Three Crabs,48.151945,-123.1222855,2026-04-19,02:15 PM,eBird - Traveling Count,74,1,.389,,1
S180573811,Canada Goose,Branta canadensis,342,X,US-VA,Fairfax,L718525,**HUNTLEY MEADOWS PARK,38.7576451,-77.0984124,2024-06-10,07:09 AM,eBird - Traveling Count,148,1,3.203,,1
S206958982,Canada Goose,Branta canadensis,342,X,US-VA,Fairfax,L718525,**HUNTLEY MEADOWS PARK,38.7576451,-77.0984124,2024-12-22,,Historical,,1
S290526069,Canada Goose,Branta canadensis,342,X,US-VA,Fairfax,L5640834,Huntley Meadows Park--Cedar Trail Loop,38.7555851,-77.1024156,2025-12-27,08:42 AM,eBird - Traveling Count,80,1,1.967,,1
S159175317,Canada Goose,Branta canadensis,342,X,US-VA,Fairfax,L4138121,Washington & Old Dominion Trail--Vienna Town Green,38.9030318,-77.2646034,2023-12-27,,Historical,,1
S311613054,Canada Goose,Branta canadensis,342,3,US-WA,Franklin,L1518478,Wahluke Wildlife Area-White Bluffs Viewpoint,46.6314315,-119.3975395,2026-03-21,12:43 PM,eBird - Traveling Count,46,1,2.26,,1
S311113230,Canada Goose,Branta canadensis,342,3,US-WA,Grant,L1678863,Potholes Reservoir--south half,46.991357,-119.3181243,2026-03-20,10:58 AM,eBird - Traveling Count,156,1,20.014,,1
S331419171,Canada Goose,Branta canadensis,342,4,US-WA,Grays Harbor,L268372,Bottle Beach State Park,46.893277,-124.0468136,2026-05-02,03:04 PM,eBird - Traveling Count,112,1,1.449,,1
S330084156,Canada Goose,Branta canadensis,342,3,US-WA,Grays Harbor,L276426,Grays Harbor NWR (Bowerman Basin),46.9731644,-123.9436064,2026-04-30,02:47 PM,eBird - Traveling Count,104,1,1.512,,1
S330624973,Canada Goose,Branta canadensis,342,X,US-WA,Grays Harbor,L269804,Ocean Shores--Bill's Spit,46.9648907,-124.1339435,2026-05-01,01:44 PM,eBird - Traveling Count,36,1,.234,,1
S174147151,Canada Goose,Branta canadensis,342,X,US-WA,Jefferson,L249781,Fort Flagler SP,48.0960511,-122.7139785,2024-05-11,12:00 AM,Historical,,1,,,1
S349492168,Canada Goose,Branta canadensis,342,11,US-WA,Jefferson,L812287,Fort Flagler SP - Campground/Beach,48.0938751,-122.7226067,2026-05-30,05:59 AM,eBird - Traveling Count,160,1,1.696,,1
